Query File,Start Time,End Time,Execution Time
query-54.sql,2023-10-21 21:22:52.270263,2023-10-21 21:24:40.685117,108.414854
query-55.sql,2023-10-21 21:24:40.695122,2023-10-21 21:24:41.003947,0.308825
query-56.sql,2023-10-21 21:24:41.019962,2023-10-21 21:24:42.461944,1.441982
query-57.sql,2023-10-21 21:24:42.473957,2023-10-21 21:24:43.940572,1.466615
query-58.sql,2023-10-21 21:24:43.952585,2023-10-21 21:24:44.635389,0.682804
query-59.sql,2023-10-21 21:24:46.207091,2023-10-21 21:24:47.182092,0.975001
query-60.sql,2023-10-21 21:24:47.194060,2023-10-21 21:24:50.526298,3.332238
query-61.sql,2023-10-21 21:24:50.538299,2023-10-21 21:24:50.621337,0.083038
query-62.sql,2023-10-21 21:24:50.660432,2023-10-21 21:24:50.873484,0.213052
query-63.sql,2023-10-21 21:24:50.886469,2023-10-21 21:24:51.416470,0.530001
query-64.sql,2023-10-21 21:24:51.428467,2023-10-21 21:24:51.925492,0.497025
query-65.sql,2023-10-21 21:24:51.937492,2023-10-21 21:24:52.929974,0.992482
query-66.sql,2023-10-21 21:24:52.940973,2023-10-21 21:24:53.420307,0.479334
query-67.sql,2023-10-21 21:24:53.442305,2023-10-21 21:24:56.026542,2.584237
query-68.sql,2023-10-21 21:24:56.042171,2023-10-21 21:24:56.558450,0.516279
query-69.sql,2023-10-21 21:24:56.574052,2023-10-21 21:24:57.498024,0.923972
query-71.sql,2023-10-21 21:24:57.529254,2023-10-21 21:24:57.901442,0.372188
query-72.sql,2023-10-21 21:24:57.919896,2023-10-21 21:24:58.961944,1.042048
query-73.sql,2023-10-21 21:24:58.977567,2023-10-21 21:24:59.440104,0.462537
query-74.sql,2023-10-21 21:24:59.440104,2023-10-21 21:42:30.013616,1050.573512
query-75.sql,2023-10-21 21:42:30.038545,2023-10-21 21:42:31.462154,1.423609
query-76.sql,2023-10-21 21:42:31.493967,2023-10-21 21:42:31.865533,0.371566
query-78.sql,2023-10-21 21:42:31.893437,2023-10-21 21:42:35.000322,3.106885
query-79.sql,2023-10-21 21:42:35.015710,2023-10-21 21:42:35.289949,0.274239
query-81.sql,2023-10-21 21:42:36.886306,2023-10-21 21:42:49.278912,12.392606
query-83.sql,2023-10-21 21:42:49.313856,2023-10-21 21:42:49.454605,0.140749
query-84.sql,2023-10-21 21:42:49.477972,2023-10-21 21:42:49.527648,0.049676
query-85.sql,2023-10-21 21:42:49.555563,2023-10-21 21:42:49.679791,0.124228
query-87.sql,2023-10-21 21:42:49.713756,2023-10-21 21:42:51.912758,2.199002
query-88.sql,2023-10-21 21:42:51.932452,2023-10-21 21:42:53.708488,1.776036
query-89.sql,2023-10-21 21:42:53.728151,2023-10-21 21:42:54.071962,0.343811
query-90.sql,2023-10-21 21:42:54.094833,2023-10-21 21:42:54.255313,0.16048
query-91.sql,2023-10-21 21:42:54.279624,2023-10-21 21:42:54.327213,0.047589
query-93.sql,2023-10-21 21:42:54.348500,2023-10-21 21:42:54.481714,0.133214
query-96.sql,2023-10-21 21:42:54.514146,2023-10-21 21:42:54.743943,0.229797
query-97.sql,2023-10-21 21:42:54.763637,2023-10-21 21:42:55.558486,0.794849
query-99.sql,2023-10-21 21:42:55.594607,2023-10-21 21:42:56.125360,0.530753
